filename,pytesseract_predicted_result,paddleocr_ocr_predicted_result
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_21.jpg,4,
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_22.jpg,4,445
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_23.jpg,4,
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_24.jpg,00,
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_25.jpg,,
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_26.jpg,,
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_27.jpg,57,
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_29.jpg,,
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_9.jpg,,
2cf642f5-2024-10-17-1355-OUTSIDE-6_2_crop_11.jpg,2,
2cf642f5-2024-10-17-1355-OUTSIDE-6_2_crop_13.jpg,,
2cf642f5-2024-10-17-1355-OUTSIDE-6_2_crop_14.jpg,,
2cf642f5-2024-10-17-1355-OUTSIDE-6_2_crop_15.jpg,,0
2cf642f5-2024-10-17-1355-OUTSIDE-6_2_crop_8.jpg,,
2cf642f5-2024-10-17-1355-OUTSIDE-6_2_crop_9.jpg,,4Y
2f67a8a4-2024-10-22-1401-OUTSIDE-6_2_crop_10.jpg,77091,
2f67a8a4-2024-10-22-1401-OUTSIDE-6_2_crop_11.jpg,,5074
2f67a8a4-2024-10-22-1401-OUTSIDE-6_2_crop_12.jpg,,
2f67a8a4-2024-10-22-1401-OUTSIDE-6_2_crop_13.jpg,380,3
2f67a8a4-2024-10-22-1401-OUTSIDE-6_2_crop_14.jpg,3,
2f67a8a4-2024-10-22-1401-OUTSIDE-6_2_crop_15.jpg,44,
2f67a8a4-2024-10-22-1401-OUTSIDE-6_2_crop_16.jpg,,
2f67a8a4-2024-10-22-1401-OUTSIDE-6_2_crop_17.jpg,,
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_1.jpg,,
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_11.jpg,,
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_12.jpg,706,
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_13.jpg,41,541
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_14.jpg,505,600
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_15.jpg,381,591
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_16.jpg,60,600
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_17.jpg,,
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_18.jpg,,
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_19.jpg,4,
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_20.jpg,,
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_21.jpg,,
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_22.jpg,4,471
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_23.jpg,,
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_24.jpg,,471
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_25.jpg,57,
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_26.jpg,33,
32e7278c-OUTSIDE8_2024-10-05-1321-OUTSIDE-8_2_crop_27.jpg,4,
33f19dfd-OUTSIDE2_2024-08-26-1353-OUTSIDE-2_2_crop_2.jpg,,
33f19dfd-OUTSIDE2_2024-08-26-1353-OUTSIDE-2_2_crop_3.jpg,143,
3417f019-INSIDE4_2024-09-10-1355-INSIDE-4_crop_10.jpg,,
3417f019-INSIDE4_2024-09-10-1355-INSIDE-4_crop_11.jpg,418,418
3417f019-INSIDE4_2024-09-10-1355-INSIDE-4_crop_4.jpg,544,5444
3417f019-INSIDE4_2024-09-10-1355-INSIDE-4_crop_5.jpg,418,418
3417f019-INSIDE4_2024-09-10-1355-INSIDE-4_crop_6.jpg,6,69
3417f019-INSIDE4_2024-09-10-1355-INSIDE-4_crop_7.jpg,122,122
3417f019-INSIDE4_2024-09-10-1355-INSIDE-4_crop_8.jpg,69,66
3417f019-INSIDE4_2024-09-10-1355-INSIDE-4_crop_9.jpg,"12
122",122
34d0964b-OUTSIDE2_2024-10-01-1346-OUTSIDE-2_4_crop_2.jpg,176,176
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_11.jpg,,
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_12.jpg,,600
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_13.jpg,706,
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_14.jpg,41,541
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_15.jpg,591,591
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_16.jpg,1,
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_17.jpg,,471
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_18.jpg,4,
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_19.jpg,,
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_20.jpg,7,471
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_21.jpg,606,600
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_22.jpg,567,
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_23.jpg,234,
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_24.jpg,,
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_25.jpg,,
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_26.jpg,4,
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_27.jpg,530,
387debb2-OUTSIDE8_2024-10-01-1346-OUTSIDE-8_2_crop_9.jpg,04,
3c3b994e-OUTSIDE2_2024-10-22-1401-OUTSIDE-2_2_crop_2.jpg,,540
3c3b994e-OUTSIDE2_2024-10-22-1401-OUTSIDE-2_2_crop_3.jpg,7,LT
3c3b994e-OUTSIDE2_2024-10-22-1401-OUTSIDE-2_2_crop_4.jpg,640,640
3c3b994e-OUTSIDE2_2024-10-22-1401-OUTSIDE-2_2_crop_5.jpg,,17
3ed9f6b2-OUTSIDE8_2024-09-09-1425-OUTSIDE-8_crop_10.jpg,74,
3ed9f6b2-OUTSIDE8_2024-09-09-1425-OUTSIDE-8_crop_11.jpg,24,6
3ed9f6b2-OUTSIDE8_2024-09-09-1425-OUTSIDE-8_crop_12.jpg,,9
3ed9f6b2-OUTSIDE8_2024-09-09-1425-OUTSIDE-8_crop_13.jpg,162,N
3ed9f6b2-OUTSIDE8_2024-09-09-1425-OUTSIDE-8_crop_14.jpg,5162,05
3ed9f6b2-OUTSIDE8_2024-09-09-1425-OUTSIDE-8_crop_15.jpg,,
