pytesseract_predicted_result,paddleocr_ocr_predicted_result,trocr_predicted_result,filename
344,314,314,2024-09-04-1402-OUTSIDE-8_crop_8.jpg
,51,519,2024-09-04-1402-OUTSIDE-8_crop_9.jpg
1364,6,361,2024-09-06-1402-INSIDE-2 (2)_crop_2.jpg
433,433,433,2024-09-06-1402-INSIDE-2 (2)_crop_4.jpg
1,196,196,2024-09-06-1402-INSIDE-2 (2)_crop_5.jpg
4,433,433,2024-09-06-1402-INSIDE-2 (2)_crop_6.jpg
031,,03,2024-09-06-1402-INSIDE-2 (3)_crop_2.jpg
616,66,66,2024-09-06-1402-INSIDE-2 (3)_crop_3.jpg
516,6,56,2024-09-06-1402-INSIDE-2 (3)_crop_4.jpg
315,319,319,2024-09-06-1402-INSIDE-2_crop_2.jpg
,,,2024-09-06-1402-INSIDE-2_crop_5.jpg
,,1,2024-09-06-1402-INSIDE-3_crop_10.jpg
,,1170,2024-09-06-1402-INSIDE-3_crop_11.jpg
,,,2024-09-06-1402-INSIDE-3_crop_12.jpg
,,,2024-09-06-1402-INSIDE-3_crop_13.jpg
109,,109,2024-09-06-1402-INSIDE-3_crop_3.jpg
3614,,361,2024-09-06-1402-INSIDE-3_crop_4.jpg
,378,378,2024-09-06-1402-INSIDE-3_crop_6.jpg
03,3,03,2024-09-06-1402-INSIDE-3_crop_8.jpg
,432,43,2024-09-06-1402-INSIDE-3_crop_9.jpg
12,122,122,2024-09-06-1402-INSIDE-4 (2)_crop_10.jpg
418,418,418,2024-09-06-1402-INSIDE-4 (2)_crop_11.jpg
544,544,544,2024-09-06-1402-INSIDE-4 (2)_crop_4.jpg
122,122,122,2024-09-06-1402-INSIDE-4 (2)_crop_5.jpg
69,69,69,2024-09-06-1402-INSIDE-4 (2)_crop_6.jpg
69,69,69,2024-09-06-1402-INSIDE-4 (2)_crop_7.jpg
,,514,2024-09-06-1402-INSIDE-4 (2)_crop_8.jpg
413,418,418,2024-09-06-1402-INSIDE-4 (2)_crop_9.jpg
413,,418,2024-09-06-1402-INSIDE-4 (3)_crop_4.jpg
354,54,354,2024-09-06-1402-INSIDE-4 (3)_crop_5.jpg
354,35,354,2024-09-06-1402-INSIDE-4 (3)_crop_6.jpg
27,317,317,2024-09-06-1402-INSIDE-4 (3)_crop_7.jpg
,560,560,2024-09-06-1402-INSIDE-4_crop_10.jpg
21,21,21,2024-09-06-1402-INSIDE-4_crop_11.jpg
21,21,21,2024-09-06-1402-INSIDE-4_crop_4.jpg
,,46,2024-09-06-1402-INSIDE-4_crop_5.jpg
264,,264,2024-09-06-1402-INSIDE-4_crop_6.jpg
566,566,566,2024-09-06-1402-INSIDE-4_crop_7.jpg
85,456,456,2024-09-06-1402-INSIDE-4_crop_8.jpg
,,2,2024-09-06-1402-INSIDE-4_crop_9.jpg
9,709,709,2024-09-06-1402-INSIDE-6_crop_10.jpg
208,208,208,2024-09-06-1402-INSIDE-6_crop_11.jpg
,,39,2024-09-06-1402-INSIDE-6_crop_12.jpg
702,702,70,2024-09-06-1402-INSIDE-6_crop_13.jpg
635,639,639,2024-09-06-1402-INSIDE-6_crop_14.jpg
235,235,235,2024-09-06-1402-INSIDE-6_crop_15.jpg
639,639,639,2024-09-06-1402-INSIDE-6_crop_16.jpg
0,,121018,2024-09-06-1402-INSIDE-6_crop_17.jpg
7,,702,2024-09-06-1402-INSIDE-6_crop_6.jpg
,09,709,2024-09-06-1402-INSIDE-6_crop_7.jpg
39,,398,2024-09-06-1402-INSIDE-6_crop_8.jpg
235,235,235,2024-09-06-1402-INSIDE-6_crop_9.jpg
190,190,190,2024-09-06-1402-OUTSIDE-14_crop_12.jpg
478,478,478,2024-09-06-1402-OUTSIDE-14_crop_13.jpg
15,519,519,2024-09-06-1402-OUTSIDE-14_crop_14.jpg
86,86,86,2024-09-06-1402-OUTSIDE-14_crop_15.jpg
,,446,2024-09-06-1402-OUTSIDE-14_crop_16.jpg
1,259,369,2024-09-06-1402-OUTSIDE-14_crop_17.jpg
